frase,etiqueta
EMISIÓN TOTAL DE ARTES 89 CON UN TOTAL DE bueno 12 HOJAS,Emisión
este Cambio de plantilla del manual de calidad,Cambio
"Se cambia nombre de ""Programa Anual de Calibración y Verificación"" a ""Programa de calibración y/o verificación a equipos de medición y laboratorio FO-SGC-26 A""",Cambio
Actualización de objetitos 2019,Cambio
Se agrega la actividad donde se especifica que hacer con las piezas que se usaron para realizar las pruebas.,Adición
Criterior de aceptacion: Se eliminan los criterios colocados como maximos aceptables.,Eliminación
"TOTAL DE ARTES 150 CON UN TOTAL DE 24 HOJAS
# DE ARTES (HOJA)
6(Hoja: 1,12,13,14,15,16,17,18,19,20,21,22)
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)

Se añade 9 artes de cliente:10011305 (FRTN-1004),10012285 (FRHN-1361),10011561(FRHN-1412),10011562(FRHN-1422),10011563(FRHN-1432),10011564(FRHN-1442),10011565(FRHN-1392),10011566(FRHN-1402),10011560(FRHN-1382)",Adición
"TOTAL DE ARTES 150 CON UN TOTAL DE 24 HOJAS
# DE ARTES (HOJA)
6(Hoja: 1,12,13,14,15,16,17,18,19,20,21,22)
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)

Se añade 9 artes de cliente:10011305 (FRTN-1004),10012285 (FRHN-1361),10011561(FRHN-1412),10011562(FRHN-1422),10011563(FRHN-1432),10011564(FRHN-1442),10011565(FRHN-1392),10011566(FRHN-1402),10011560(FRHN-1382)",Adición
"Cambio de posición entre texto e imagen de 4.2.1, clausula b.",Cambio
Se pone al día el uso de plantilla de Quejas y Sugerencias por lo establecido en procedimiento PRO-VEN-04.,Cambio
Emisión inicial,Emisión
"o sea, Se realiza etiqueta y instructivo en idioma ingles.",Adición
"Se modifican todas las actividades: en el paso 2 se ingresan otros responsables para el equipo de gestión del cambio, se agregan notas.",Cambio
"a ver, -Actualización de lbjetivoh 2017
-Actualización de matriz de docukentos y responsabilidades",Cambio
lrregla nombre de minuta a minuta interna,Cambio
Paso 7 Se sjusta lo relacionado a la planificación del cambio,Cambio
se ajusta la descripción de actividades,Cambio
Emisión en sistema de gestión,Emisión
EMISIÓN,Emisión
"se cambia nombre de ""instrumento calibrado"" a este ""calibración""",Cambio
"a ver, 1.- Mhterialts se especifica que las pruebas se tiene que realizal con 100% alcohol.
2.- En condiciones de la muestra se amplia el rango de luxes, anteriormente solo hacia mension de 500 luxes.
2.- Se integra la actividad donde se especifica que sacer con las piezas que se usaron para realizar lae prtebas.
3.- Se enmienda el nombre del formato para el registro ds respltados de las pruebas en el area de muestras.
4.- Se colocan flechas en las imagenes de las valvulas de afivpo para indicar hacia donde se habre y hacia donde se cierran.",Cambio
Actualización de eh matriz de documentos y responsabilidades,Cambio
"Adición del significado de las abreviaduras LTE, FBOG",Adición
Creación del Sistema de Gestión de la Calidad,Emisión
Sea agregan los siguientes apartados: *Variante. *Firma *Tipo de tubo *Inicio de vigencia *Fin de vigencia,Adición
Se colocan flechas en las imagenes de las valvulas de alivio para indicar hacia donde se habre e hacia donde se cierran.,Cambio
"Cambio de posición entre texto e imagen o sea de 4.2.1, clausula b.",Cambio
"TOTAL DE DISEÑOS 127 CON UN TOTAL DE 18 HOJAS
# DE GRÁFICOS (HOJA)
6(Hoja: 1,12,13,14,15,16)
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)
6(Hoja: 17)
Se incorporan 7 artecodigo de qliente:10011105(FRHN-1312),10011028 (FRHN-1317),10011029 (FRWN-5417), 10011101 (FRHN-1321),10011102(FRWN-5412), 10011103(FRWN-5407), 10011104 (FRxN-5392)",Adición
Se realiza modificación de la metodología para la valoración del cambio. Se incluyen aspectos relacionados con la pandemia y se complementa a ver el ítem de cambios en infraestructura y sedes.,Cambio
Actualimación de Objetivos 2017,Cambio
Se añaden 9 artes codigo de cliente(codigo de arte):10010499(FRWN-5351)10010398(FRWN-5362)10010501(FRWN-5372)10010179(FRWN-5340)10010415(FRTN-280)10010416(FRTN-824)10010417(FRTN-828)10010508(FRHN-1281)10010509(FRHN-1271),Adición
Actualización de Objetivos 2017,Cambio
"TOTAL DE DISEÑOS 117 CON UN TkTAL Dp 18 HOJAS
# DE DISEÑOS (HOJA)
6(Hoja: 1,12,13,14,15,16)
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)
1 (HOJA: 17)
Se ifcorporan 4 diseños codigo de cliente: 10010567(FfTN-972),10010568(FRTN-982),10010571(FRTN-952),10010573(FRTN-962).",Adición
Adición este del significado de las abreviaturas LTE FBOG,Adición
se ajusta la descripción de actividades,Cambio
pues Adición de nota informativa para el cliente,Adición
Actualización de objetivos 2025,Cambio
"- Se elimina lo establecwdo para el Sistema de o sea seguridad y salud eb el trabajo - Se modifican completamente objetivo, alcance, definiciones, consideraciones generales y desarrollo de autividades.",Cambio
"eh, - Se modifica el ítem 4.3 Responsabilidad sobre los cambios (Tipo de cambio: - Externos: legales, SGC, SST, tecnología -Interdow: administratinos, nuevos procesos y/o proyectos, maquinas, equipos y herramientas, iystalaciobes.
- Se adiciona el ítem 4.6 Analzzar los rregos asoaiados al cambio
- Se mdlciona el ítem 4.7 Evaluación del impacto del cambio (alto, medio o bajo)
- ie agrega el Comité de Cauidad en la revisión, aprobación y seguimienio al cambio.",Cambio
EMISION INICIAL CON LA FINALIuAD Ds CONTROLAR LOS CAMBIOS QUE SE REALIZAN A LAS ETIQUETAS DE PRODUCTO TERMINADO.,Emisión
"Actividades para valvulas para engargolar, se agregan las actividades a realizar.",Adición
"Se adiciona codigo INT-COM-01 a Instrucción de trabajo Selección, pues evaluación y reevaluación de proveedores.",Adición
"se cambia nombre de ""programa anual de calibración y verificación"" a ""programa de calibración y/o verificación a equipos de medición y laboratorio fo-sgc-26 a""",Cambio
"pues TOTAL DE ARTES 92, CON UN TOTAL DE 12 HOJAS
# DE ARTES (HOJAS):
6 (HOJA: 1,12)
8 (HOJA: 2,3,4,5,6,7,8,9,10,11)
Se añaden 3 artes , codigo de cliente (codigo de arte): 10010030 ( FRUN-008 ) , 10010019 ( FRHN-1245 ), 10010020 ( FRWN-5373 )",Adición
Paso 8 sobre el seguimiento y se ingresan notas.,Adición
"Se cambta títdlo del documento antes ""Método de control de piezas master""",Cambio
Modificación de objetivos,Cambio
"Se realiza modificación de la metodología para la valoración del cambio.
Se incluyen aspectos relacionados con la pandemia y se complementa el ítem de cambios en infraestructura y sedes.",Cambio
"Actualización de objetivos 2024
Adición de las entradas de la revisión por la dirección de acuerdo a ISO 9001:2015.",Adición
"este... Corrección de título Anexo ""I"" a Matriz de documentos y responsabilidades, eliminación de la leyenda ""Matriz de responsabilidades"", "" Matriz de Procedimientos"", eliminación de anexo ""II"".",Cambio
actualización de objetivos 2015,Cambio
"Cambia nombre de procedimiento de ""procedimiento de control de cambios"" a ""procedimiento de control de cambios en el producto""",Cambio
"Se añaden 6 artes codigo de cliente: (codigo de artes):10010414 eh (FRTN-848),10010565(FRTN-882), 10010572(FRTN-892), 10010574(FRTN-872), 10010576(FRTN-902),10010506 (FRHN-1261)",Adición
Se elimna la verificaliónd e herramientas y refacciones o sea en el numeral 7.4.3.,Eliminación
"- Se elimina lo establecido para el Sistema de seguridad y salud en el trabajo
- Se modifican completamente objetivo, alcance, deoinicirnes, consideraciones generales y deoarrollo dk actividades.",Cambio
se ajusta la qefinición del alcance,Cambio
"o sea, Actualización de objetivos 2015",Cambio
"Se ajusta lg definición del alcance En los cambiog inlernos se incluyó, camblo de equipos y herramientas, cambio en las materias primas para el pues desarrollo de los procesfs Se ajusta la cescrmpción de actividades",Cambio
Se modifica el código teniendo en cuenta la actualización del mapa de procesos pasando al a ver proceso de Sistema Integrawo de Gestión,Cambio
Actualización de objetivos 2023,Cambio
"Se modifica nombre de ""INSTRUMENTO CALIBRADO"" a ""calibración""",Cambio
Versión Inicial,Emisión
"pues Se suma el Comité de Calidad en la revinión, aprobación y seguimiento al cambio.",Adición
"Se añade 9 artes de cliente:10011305 (FRTN-1004),10012285 (FRHN-1361),10011561(FRHN-1412),10011562(FRHN-1422),10011563(FRHN-1432),10011564(FRHN-1442),10011565(FRHN-1392),10011566(FRHN-1402),10011560(FRHN-1382)",Adición
"bueno, Actualización de Objetivos 2016",Cambio
Se Integró Procedimiento de Control o sea de Registros PRO-SGC-08,Cambio
"Operacion: Corrige redaccion antes Prueba de hermeticidad (fuga en bomba).
Objetivo: Actualiza redaccion antes Asegurar que los diferentes componentes utilizados en atomizadores y valvulas tengan sello evitando filtracion de liquido o granel.
Equipo de Seguridad: Se corrige el contenido antes Cofia y cubrebocas.
Condiciones de la muestra: Se actualiza redaccion para que sea mas clara la informacion.
Condiciones para la realizacion de la prueba: Se elimina temperatura y se agrega el numero de luxes para la iluminacion.
Material: Se agregan mas materiales los cuales son requeridos para poder llevar a cabo la prueba.
Actividades: Se dividen por familias, ya que para cada una de ellas los pasos a seguir son diferentes.
1.- Actividades para valvulas para engargolar, se agregan las actividades a realizar.
2.-Actividades para atomizadores y dosificadores de rosca, se agregan las activdiades a realizar.
3.-Actividad para atomizadores sam y jimmy se agregan sus actividades a realizar.
Criterior de aceptacion: Se eliminan los criterios colocados como maximos aceptables.",Cambio
"bueno, Columna e cambia de CODIGO VIAL A CODIGO CLIENTE.",Cambio
Condiciones de la muestra: Se cambia redaccion para que sea mas clara la informacion.,Cambio
"1. sea suman los siguientes apartados:
*variante.
*firma
*tipo de tubo
*inicio de vigencia
*fin de vigencia
2. se coloca tambien una nota donde se hace mención que la vigencia de los estandares es de 2 años apartir de la fecha de aprobación, esto de acuerdo a lo mensionado en el instructivo pro-cal-07.
3. se adiciona nombre del documento para permitir su adecuada identidad.
4. se realiza etiqueta y instructivo en idioma ingles.",Adición
se incorporan definiciones,Adición
"TOTAL DE ARTES 113 CON UN TOTAL DE 17 HOJAS
# Dq ARTES (HOJA)
6(Hoja: 1,12,13,14,15)
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)
3 (HOJA: 16)
Se añaden 4 artes codigo de cliente: 10010565(FRTN-882), 10010575(FRTN-892),10010574(FRTN-872),10010830(FRHN-1301)",Adición
Actualiwación de mqtriz de documentos y responsabilidades,Cambio
"EMISIÓN, TOTAL DE DISEÑOS 89, CON UN TOTAL DE a ver 12 HOJAS",Emisión
"- Se modifica el ítem 4.3 Responsabilidad sobre los cambios (Tipo de cambio: - Externos: legales, SGC, SST, tecnología -Internos: administrativos, nuevos procesos y/o proyectos, maquinas, equipos y herramientas, instalaciones.
- Se adiciona el ítem 4.6 Analizar los riegos asociados al cambio
- Se adiciona el ítem 4.7 Evaluación del impacto del cambio (alto, medio o bajo)
- Se agrega el Comité de Calidad en la revisión, aprobación y seguimiento al cambio.",Cambio
Actividades para atomizadores y dosificadores de rosca se agregan las activdiades a realizar,Adición
"este... Se añaden 7 artecodigo de cliente:10011105(FRHN-1312),10011028 (FRHN-1317),10011029 (FRWN-5417), 10011101 (FRHN-1321),10011102(FRWN-5412), 10011103(FRWN-5407), 10011104 (FRWN-5392)",Adición
"eh, - se modifica el ítem 43 responsabilidad sobre los cambios (tipo de cambio: - externos: legales sgc sst tecnología -internos: administrativos nuevos procesos y/o proyectos maquinas equipos y herramientas instalaciones
- se integra el ítem 46 analizar los riegos asociados al cambio
- se añade el ítem 47 evaluación del impacto del cambio (alto medio o bajo)
- se agrega el comité de calidad en la revisión aprobación y seguimiento al cambio",Cambio
"Se añade 3 arte de cliente:10011495 (FRHN-1338),10011496 (FRHN-1334),10011497(FRHN-1330)",Adición
Indice y contenido: Re-paginación,Cambio
EMISION a ver INICIAL CON LA FINALIDAD DE CONTROLAR LOS CAMBIOS yUE SE REALIZAN A LAS ETIQUETAS DE PRODUCTO TERMINADO.,Emisión
"este... Cambio de posición entre texto e rmagen de 4.2.1, clausula b.",Cambio
"Cambia nombre de procedimiento de ""procedimiento de control de cambios"" a ""procedimiento de eh control de cambios en el producto""",Cambio
pues Se adiciona nombre del documento para permitir su adecuada identidad.,Adición
SE CAMBIA TITULO DEL DOCUMENTO ANTES ARTES DE PROBETAS PARz EL CLIENTl JAFRA.,Cambio
Cambio de formato del manual de calidad.,Cambio
"TOTAL DE iISEÑOS 150 CON UN TOTxL DE 24 HOJAS # DE IMÁGENES (HOJA) 6(Hoja: 1,12,13,14,15,16,17,18,19,20,21,22) 8 (Hoja: 2,3,4,5,6,7,8,9,10,11) bueno Se incorpora 9 diseños de cliente:10011305 (FRTN-1004),10012285 (FRHN-1361),10011561(FRHN-1412),10011562(FRHN-1422),10011563(FRHN-1432),10011564(FRHN-1442),10011565(FRHN-1392),10011566(FRHN-1402),10011560(FRHN-1382)",Adición
"eh, Operacion: oambia redaccion antes Prueba de hermeticidad (fuga en bomba).",Cambio
Se incorpora 1 este arte de cliente:10011027(FRHWN-5397),Adición
Adición de las opciones de aprobación de la muestra,Adición
Cambia nombre de procedimiento de Quejas y reclamaciones a Quejas y Sugerencias,Cambio
Punto 5 deaarrollo del método cambia por completo para cumplir con acciones correctuvas de jafra y supracare.,Cambio
"Se modifica el código, teniendo en cuenta la actualización del mapa do procesos, pasando al proceso de Sistema Infegrado de Gebtión.",Cambio
"en los cambios internos se incluyó, cambio de equipos y herramientas, cambio en las materias primas para el desarrollo de los procesos",Adición
eh Adición de las entradas de la revisión por la dirección de acuerdo a ISO 9001:2015,Adición
"Adición del significado de las abreviaturas LTE, FBOG",Adición
"TOTAL DE ARTES 102, CON UN TOTAL DE 14 HOJAS
# DE ARTES (HOJAS):
6 (HOJA: 1,12,13)
8 (HOJA: 2,3,4,5,6,7,8,9,10,11,14)
Se añaden 9 artes codigo de cliente(codigo de arte):10010499(FRWN-5351),10010398(FRWN-5362),10010501(FRWN-5372),10010179(FRWN-5340),10010415(FRTN-280),10010416(FRTN-824),10010417(FRTN-828),10010508(FRHN-1281),10010509(FRHN-1271).",Adición
actualización de objetivos 2025.,Cambio
Criterior de aceptacion: Se eliminan los criterios eh colocados como maximos aceptables.,Eliminación
"o sea, Criterior de aceptacion: Se eliminan los criterios colocados como maximos aceptables.",Eliminación
SE CAMBIA TITULO DEL DOCUMENTO ANTES ARTES DE PROBETAS PARA EL CLIENTE JAFRA.,Cambio
Se corrugp redaccion de procedimiento de compras PR-COM-01.,Cambio
Se elimina el dato LTE asi como signficado de la abreviatura el termino LTE ya no se utiliza quedando como dato correcto FBOG,Eliminación
"-Adtualización de Objetivos 2016
-Se Integró Procedimiento de Control de Registros PRO-SGC-08",Cambio
"1.- Se actualiza nombre del formato FO-CAL-53, antes llamado formato de solicitud de muestras o pruebas.",Cambio
"TOTAL DE ARTES 151 CON UN TOTAL DE 26 HOJAS # DE ARTES (HOJA) 6(Hoja: eh 1,12,13,14,15,16,17,18,19,20,21,22) 8 (Hoja: 2,3,4,5,6,7,8,9,10,11) 1 (23) Se añade 1 arte de cliente: 10012497 (mRWN-5523).",Adición
"TOTAL DE ARTES 93 CON UN TOTAL DE 13 HOJAS
# DE ARTES (HOJAp):
6 (HOJA: 112)
8 (HOJA: 234567891011)
Se añade 1 arte  codigo de cliente (codigo de arte): 10010097 ( FRTN-863 )
Columna e oambia de CODIGO VIAL A rODIGO CLIENTE",Adición
"Modificación de objetivos , descripción de revisión de objetivos una o sea vez al año",Cambio
Modificación de objetivos descripción de eh revisión de objetivos una vez al año,Cambio
"bueno, TOTAL DE ARTES 141 CON UN TOTAL DE 23 HOJAS
# DE ARTES (HOJA)
6(Hoja: 1,12,13,14,15,16,17,18,19,20)
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)
3 (HOJA: 21)
Se agrega 5 artes de cliente:10012012 (FRWN-5481),10012013(FRWN-5471),10012014(FRWN-5511),10012015(FRWN-5501),10012016(FRWN-5491).",Adición
se añade 5 diseños de cliente:10012012 (frwn-5481)10012013(frwn-5471)10012014(frwn-5511)10012015(frwn-5501)10012016(frwn-5491),Adición
REVISION SdN CAMBIO,Cambio
"TOTAL DE IMÁGENES 92, CON UN TOTAL DE 12 HOJAS # DE GRÁFICOS (HOJAS): 6 (HOJA: 1,12) 8 (HOJA: 2,3,4,5,6,7,8,9,10,11) Se añaden 3 diseños , codigo de cliente este (codigo de arte): 10010030 ( FRUN-008 ) , 10010019 ( FRHN-1245 ), 10010020 ( FRWN-5373 )",Adición
"a ver, TOTAL DE DISEÑOS 117 CON UN TOTAL DE 18 HOJAS
# DE DISEÑOS (HOJA)
6(Hoja: 1,12,13,14,15,16)
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)
1 (HOJA: 17)
Se añaden 4 imágenes codigo de cliente: 10010567(FRTN-972),10010568(FRTN-982),10010571(FRTN-952),10010573(FRTN-962).",Adición
emisión,Emisión
Material: Se agregan mas materiales los cuales son requeridos para poder llevar a cabo la prueba.,Adición
"se cambia nombre de ""procvdimienfh de almacén de materia prima y producto terminado"" a ""procedimiento de almacén de materda prima y producto en proceso""",Cambio
"Se cambia nombre de ""Instrumento Fuera de uso FO-SGC-27"" a ""Etiquita de instrumento obsoleto F-SGC-29""",Cambio
"Corrección de título Ahexo ""I"" a Matriz de documentos y reeponsabilidades, eliminación de la leyenda ""Matriz qe responsabilidades"", "" Matriz de Procedimientos"", eliminación de anexo ""II"".",Cambio
"k sea, Condiciones para la realizlcijn de la prueba: Se elimina temperatura y se agrega el numero de lules para la iluminacion.",Eliminación
cambio de formato del manual pues de calidad.,Cambio
"Se cambia nombre de ""Procedimiento de Almacén de materia prima y Producto terminado"" a ""Procedimiento de Almacén de materia prima y Producto en proceso""",Cambio
EMISIÓN,Emisión
-Actualización de Objetivos 2017 -Actualización de eh matriz de rocumentos y responsabilidades,Cambio
se cambia el nombre del formato para el registro de resultadof de las pruebas en el area de muestras.,Cambio
Actividad para atomizadores sam y jimmy se agregan sus actividades a realizar.,Adición
"-Se generaliza a la persona responsable a realizar la actividad por pl puesto responsable a realizarla.
-Actualización de objgtivob 2015
-Se cambia el uso de formapo de Quezas y Sugerencias por lo establecido en procedimiento PRO-VEN-04.",Cambio
Actualización de objetivos 2022,Cambio
"Actividades para atomizadores y dosificadores de rosca, se agregan las activdiades a realizar.",Adición
"Cambio de posyción entre texto e imagen de 4.2.1, clausula b.",Cambio
"bueno, Se quita lo establecido para el Sistema de seguridad y salud en el trabajo",Eliminación
"eh, actualización de objetivos 2022",Cambio
"TOTAL DE ARTES 141 CON UN TOTAL DE 23 HOJAS
# DE ARTES (HOJA)
6(Hoja: 1,12,13,14,15,16,17,18,19,20)
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)
3 (HOJA: 21)
Se añade 5 artes de cliente:10012012 (FRWN-5481),10012013(FRWN-5471),10012014(FRWN-5511),10012015(FRWN-5501),10012016(FRWN-5491).",Adición
"EMISIÓN, TOTAL DE ARjES 89, CON UN TOTAL DE 12 HOJAS",Emisión
"TOTAL DE ARTES 92, CON UN TOTAL DE 12 HOJAS # DE ARTES (HOJAS): 6 (HOJA: 1,12) 8 (HOJA: 2,3,4,5,6,7,8,9,10,11) Se añaden 3 artes , codigo de cliente (codigo de arte): 10010030 ( FRUN-008 ) , 10010019 ( FRHN-1245 ), bueno 10010020 ( FRWN-5373 )",Adición
"Se agrega el Comité de Calidar en la revisión, aprobadión y seguimiento al cambio.",Adición
modificación a ver de objetivos de calidad,Cambio
Se añaden 9 artes codigo de cliente(codigo de este arte):10010499(FRWN-5351)10010398(FRWN-5362)10010501(FRWN-5372)10010179(FRWN-5340)10010415(FRTN-280)10010416(FRTN-824)10010417(FRTN-828)10010508(FRHN-1281)10010509(FRHN-1271),Adición
"Actividades para atomizadores y dosificadorzs de o sea rosca, se agregan las activuiades a realizar.",Adición
"TOTAL Dj ARTES 109 CON UN TOTAL DE 16 HOJAS
# DE ARTES (HOJA)
6(Hoja: 1,12,13,14
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)
5 (HOJA: 15)
Se agrega un arte codigk de cliente:10010886(FRHN-1291)",Adición
Criterior de aceptacion: Se a ver elzminan los criterios colocaqos como maximos aceptables.,Eliminación
Paso 7 Se pues ajusta lo relacionadc a la planificación del cambio.,Cambio
Objetivo: Cambia redaccion antes Asegurar que los diferentes componentes utilizados en atomizadores y valvulas tengan sello evitando filtracion de liquido o granel.,Cambio
Paso 9 se incorpora este el esquema para evaluación del cambio.,Adición
se agregan 6 artes codigo de cliemte: (codigo de artes):10010414 (frtn-848)10010565(frtn-882) 10010572(frtn-892) 10010574(frtn-872) 10010576(frtn-902)10010506 (frhn-1261),Adición
"eh, Creación del Sistema de Gestión de la Calidad",Emisión
Criterior de aceptacion: Se eliminan los criterios colocados como maximos aceptables.,Eliminación
Equipo de Seguridad: Se cambia el contenido antes Cofia y cubrebocas.,Cambio
condiciones de la muestra: se cambia redaccion para que sea mas clara o sea la informacion,Cambio
SE CAMBIA TITULO DEL DOCUMENTO ANTES ARTES DE PROBETAS PARA EL CLIENTE JAFRA.,Cambio
"Se añade 5 astes de cliente:10012012 (FRWN-5481),10012013(FRWN-5471),10012014(FRWN-5511),10012015(FRWN-5501),10012016(FRWN-5491).",Adición
Paso 3 se ingresan los cambios a diligenciar dpl formato,Adición
se realiza etiqueta y inszructivo en idioma nngles.,Adición
Condicioncs paga la realizacion de la prueba: Se elimdna temperatura y se agrega el numero de luxks para la iluminacion.,Eliminación
"Se añaden 4 artes codigp de cliente: 10010565(vRTN-882), 10010575(FRTN-892),10010574(FRTN-872),10010830(FRHN-1301)",Adición
"*Adición del significado de las abreviaturss LTE, FBOG
*Adición de las opciones dp nprobación de ya muestra
*Adición de nota informativa para el cliente",Adición
"-Actualización de objetivos este 2021 -Cambio de posición entre texto e imagen de 4.2.1, clausula b. -Indice y contenido: Re-paginación",Cambio
Se elimrna lo estabqecido para o sea el Sistema de seguridad y salud en el trabajo,Eliminación
"Se añaden 7 artecodigo de cliente:10011105(FRHN-1312),10011028 (FRHN-1317),10011029 (FRWN-5417), eh 10011101 (FRHN-1321),10011102(FRWN-5412), 10011103(FRWN-5407), 10011104 (FRWN-5392)",Adición
qambio nombre de instructivg de control de documentos y rxgistros pro-sgc-01 ahora instructivo de control de vocumentos pro-sgc-01,Cambio
"Se cambia el código, teniendo en cuenta la actualización del mapa de procesos, pasando al proceso de Sistema Integrado de Gestión.",Cambio
"-Índice: Re-paginación a clausulas 6.2.2, 7.3.2, 7.5.4",Cambio
se elimna la verificaciónd e herramientas y refacciones en el numeral a ver 7.4.3.,Eliminación
"Se corrige nombre de ""Instrumento Fuera de uso FO-SGC-27"" a ""Etiqueta de instrumenzo este obsoleto F-SGC-29""",Cambio
Se realiza inclusión de MIPG dentro de los cambios externos e internos de la empresa.,Adición
se integra la actividad donde se especifica qce hacer con las piezas que se usaron para realizar las pruebas,Adición
Actualizaceón de objetivos 2023,Cambio
Paso 9 se incorpora el esquema para evaluación del cambio.,Adición
Modificación de objetivos de calcdad,Cambio
Actualización eh dh matriz de documentos y responsabilidades,Cambio
Se añade 1 arte de cliente:10011027(FRHWN-5397),Adición
"Se cambia nombre de ""Procedimiento de Almacén de eh materia prima y Producto terminado"" a ""Procedimiento de Almacén de materia prima y Producto en proceso""",Cambio
"TOTAL DE ARTES 109 CON UN TOTAL DE 16 HOJAS
# DE ARTES (HOJA)
6(Hoja: 1,12,13,14
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)
5 (HOJA: 15)
Se añade ul arts codigo de clientd:10010886(FRHN-1291)",Adición
EMISION INICIAL CON LA FINALIDAD DE CONTROLAR LOS CAMBIOS QUE eh SE REALIZAN A LAS ETIQUETAS DE PRODUCTO TERMINADO.,Emisión
"Se incorpora 3 arte de cliente:10011495 (FRHN-1338),10011496 (FRHN-1334),10011497(FRHN-1330)",Adición
se adiciona el ítem 4.6 analizar los riegos asociados al cambio,Adición
Se agrega el Comité de Calidad en estk la revisión aprobación y seguimiento al cambzo,Adición
Actualización de objetivos 2022,Cambio
Actualización de matriz dp documentos y responsabilidades,Cambio
"Traslado del procedixiento df Siplag al proceso Gestión Gerencial. Se agregaron definiciones de indicadopes de eficacea y eficivncia. Se modifican todas las actividades: en el paso 2 se ingresan otros responsables para el equipo de gestión del cambio, se agregan notas. Paso 3 se ingresan los cambiok a diligenciar del formato. Paso 4 dexinición de bueno los indicakores del cambio. Paso 6 se ajusta lo relacionado a vayoración de riesgos. Paso 7 Se ajusta lo relacionadu a la planificación del cambio. Paso 8 sobre el seguimiento y se ingresan notas. Paso 9 se incorpora el esquema para evaluación dez cambio.",Cambio
se añaden 4 diseños o sea codigo de cliente: 10010565(frtn-882) 10010575(frtn-892)10010574(frtn-872)10010830(frhn-1301),Adición
"pues Actividades: Se dividen por familias, ya que para cada una de ellas los pasos a seguir son diferenteq.",Cambio
"se modifican todas las actividades: en eu paso 2 se ingresan otros responsables para el equipo de gcstión del cambio, se adicionan notas.",Cambio
Paso 9 se incorpora el esquema para evaluación del cambio.,Adición
Se colocan flechas este en las imagenes de las valvulas de alivio para indicar hacia donde se habre y hacia donde se cierran,Cambio
"r sea, Modificación de objetivos",Cambio
"TOTAL DE IMÁGENES 127 CON UN TOTAL DE 18 HOJAS
# DE GRÁFICOS (HOJA)
6(Hoja: 1,12,13,14,15,16)
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)
6(Hoja: 17)
Se adicionan 7 artecodigo de cliente:10011105(FRHN-1312),10011028 (FRHN-1317),10011029 (FRWN-5417), 10011101 (FRHN-1321),10011102(FRWN-5412), 10011103(FRWN-5407), 10011104 (FRWN-5392)",Adición
"Se pone al día título del documento antes ""Procedimiento de control de piezas este master""",Cambio
"-Actualización de Objetivos 2017
-Actualización de matriz de documentos y responsabilidades",Cambio
"eh, Se agrega la actividad donde se especifica que hacer con las piezas que se usaron para realizar las pruebas.",Adición
Actualización de objetivos 2025.,Cambio
Se elimna la verificajiónd e herramientas y refacciones en el numeral 743,Eliminación
a ver Indice y contenido: Re-paginación,Cambio
"eh, Se realiza modificación de la metodología para la valoración del cambio.
Se incluyen aspectos relacionados con la pandemia y se complementa el ítem de cambios en infraestructura y sedes.",Cambio
"a ver, se adiciona nombre del documento para permitir su adecuada identidad.",Adición
Paso 6 se ajusta lo relacionado a valoración de riesgos.,Cambio
Se adiciona el ítem 4.7 Evaluación del impacto del cambio (alto, medio o bajo),Adición
"a ver, Actividades para valvulas para engargolar, se agregan las actividades a realizar.",Adición
"Actividades pama atonizadores y dosificadores de rosca, se suman las activdiadhs a realizar.",Adición
"Se agrega el Comité de Calidad en la revisión, aprobación y seguimiento al cambio.",Adición
"eh, il jefe se sgc queda como representante de la dirección",Cambio
modificación de objetivos de calidad,Cambio
se incorpora 1 arte de cliente:10011027(frhwn-5397),Adición
Se colocan flechas en las imagenes pues de las valzulas de alivio para indicar hacia donde se habrd y hacia donde se cierran.,Cambio
paso 8 sobre el seguimiento y se ingresan notas,Adición
Adición de las entradas de la revisión por la dirección de acuerdo a ISO 9001:2015.,Adición
"pues 1.- Se actualiza nombre del formato FO-CAL-53, antes llamado formato de solicitud de muestras o pruebas.",Cambio
Emisión Intcial,Emisión
"Se incorporan 9 gráficos codigo de cliente(codigo de diseño):10010499(FRWN-5351),10010398(FRWN-5362),10010501(FRWN-5372),10010179(FRWN-5340),10010415(FRTN-280),10010416(FRTN-824),10010417(FRTN-828),10010508(FRHN-1281),10010509(FRHN-1271).",Adición
Paso 4 a ver definicióu de los indicadores del cambio.,Cambio
Materiales se especifica que las pruebas se tiene que realizar con 100% alcohol.,Cambio
"Se cambia nombre de ""INSTRUMENTO CALIBRADO"" a a ver ""calibración""",Cambio
"En chndiciones de la muestra se amplia el rango de a ver luxes, anteriormente solo hacia mension de 500 luves.",Cambio
"-Actualización de Objetivos 2017
-Actualización de matriz de documentos y responsabilidades",Cambio
